pair,metric,component,layer,head,value_mean
original_vs_version1,head_output_maxmatch_cosine,head_output,8,32,0.814293
original_vs_version1,head_output_maxmatch_cosine,head_output,8,33,0.850261
original_vs_version1,head_output_maxmatch_cosine,head_output,8,34,0.921248
original_vs_version1,head_output_maxmatch_cosine,head_output,8,35,0.913073
original_vs_version1,head_output_maxmatch_cosine,head_output,8,36,0.960181
original_vs_version1,head_output_maxmatch_cosine,head_output,8,37,0.945965
original_vs_version1,head_output_maxmatch_cosine,head_output,8,38,0.928118
original_vs_version1,head_output_maxmatch_cosine,head_output,8,39,0.952463
original_vs_version1,head_output_maxmatch_cosine,head_output,9,0,0.937779
original_vs_version1,head_output_maxmatch_cosine,head_output,9,1,0.926708
original_vs_version1,head_output_maxmatch_cosine,head_output,9,2,0.941345
original_vs_version1,head_output_maxmatch_cosine,head_output,9,3,0.917606
original_vs_version1,head_output_maxmatch_cosine,head_output,9,4,0.931612
original_vs_version1,head_output_maxmatch_cosine,head_output,9,5,0.886869
original_vs_version1,head_output_maxmatch_cosine,head_output,9,6,0.875806
original_vs_version1,head_output_maxmatch_cosine,head_output,9,7,0.893325
original_vs_version1,head_output_maxmatch_cosine,head_output,9,8,0.874257
original_vs_version1,head_output_maxmatch_cosine,head_output,9,9,0.856695
original_vs_version1,head_output_maxmatch_cosine,head_output,9,10,0.877805
original_vs_version1,head_output_maxmatch_cosine,head_output,9,11,0.931765
original_vs_version1,head_output_maxmatch_cosine,head_output,9,12,0.899844
original_vs_version1,head_output_maxmatch_cosine,head_output,9,13,0.905909
original_vs_version1,head_output_maxmatch_cosine,head_output,9,14,0.93096
original_vs_version1,head_output_maxmatch_cosine,head_output,9,15,0.932876
original_vs_version1,head_output_maxmatch_cosine,head_output,9,16,0.900157
original_vs_version1,head_output_maxmatch_cosine,head_output,9,17,0.867739
original_vs_version1,head_output_maxmatch_cosine,head_output,9,18,0.904882
original_vs_version1,head_output_maxmatch_cosine,head_output,9,19,0.865304
original_vs_version1,head_output_maxmatch_cosine,head_output,9,20,0.896456
original_vs_version1,head_output_maxmatch_cosine,head_output,9,21,0.876662
original_vs_version1,head_output_maxmatch_cosine,head_output,9,22,0.916481
original_vs_version1,head_output_maxmatch_cosine,head_output,9,23,0.925077
original_vs_version1,head_output_maxmatch_cosine,head_output,9,24,0.874828
original_vs_version1,head_output_maxmatch_cosine,head_output,9,25,0.812199
original_vs_version1,head_output_maxmatch_cosine,head_output,9,26,0.829936
original_vs_version1,head_output_maxmatch_cosine,head_output,9,27,0.846335
original_vs_version1,head_output_maxmatch_cosine,head_output,9,28,0.852467
original_vs_version1,head_output_maxmatch_cosine,head_output,9,29,0.862875
original_vs_version1,head_output_maxmatch_cosine,head_output,9,30,0.887294
original_vs_version1,head_output_maxmatch_cosine,head_output,9,31,0.965785
original_vs_version1,head_output_maxmatch_cosine,head_output,9,32,0.955222
original_vs_version1,head_output_maxmatch_cosine,head_output,9,33,0.892643
original_vs_version1,head_output_maxmatch_cosine,head_output,9,34,0.91478
original_vs_version1,head_output_maxmatch_cosine,head_output,9,35,0.985789
